customer_name;rfm_recency;rfm_frequency;rfm_monetary;rfm_sum_string;rfm_segment
George Ashbrook;2;2;4;224;big customer, cannot lose
Olvera Toch;3;2;4;324;active customer
John Stevenson;1;2;4;124;lost customer
Bill Stewart;4;2;4;424;loyal customer
Corinna Mitchell;4;2;4;424;loyal customer
Robert Marley;4;2;4;424;loyal customer
Dianna Wilson;1;2;4;124;lost customer
Yoseph Carroll;4;2;4;424;loyal customer
Alex Avila;1;2;4;124;lost customer
Giulietta Baptist;4;2;4;424;loyal customer
Tom Prescott;2;2;4;224;big customer, cannot lose
Tamara Chand;1;2;4;124;lost customer
Sean Miller;2;2;4;224;big customer, cannot lose
Bill Shonely;1;2;4;124;lost customer
Christopher Conant;3;2;4;324;active customer
Karen Daniels;1;2;4;124;lost customer
Emily Grady;4;2;2;422;active customer
Lisa Ryan;2;2;2;222;lost customer
Patrick Ryan;3;2;2;322;active customer
Janet Molinari;3;2;2;322;active customer
Noah Childs;1;2;2;122;lost customer
Cynthia Delaney;1;2;2;122;lost customer
Nat Gilpin;3;2;2;322;active customer
Cathy Armstrong;1;2;2;122;lost customer
Chad Cunningham;1;2;2;122;lost customer
Ryan Akin;3;2;2;322;active customer
James Lanier;4;2;2;422;active customer
Mike Caudle;1;2;2;122;lost customer
Darren Koutras;4;2;2;422;active customer
Marc Harrigan;1;2;2;122;lost customer
Monica Federle;4;2;2;422;active customer
Justin Ritter;3;2;2;322;active customer
Janet Lee;2;2;2;222;lost customer
Phillip Flathmann;2;2;2;222;lost customer
Kean Nguyen;3;2;2;322;active customer
John Dryer;2;2;2;222;lost customer
Liz Carlisle;3;2;2;322;active customer
Carlos Daly;3;2;2;322;active customer
Tom Stivers;2;2;2;222;lost customer
Chris McAfee;1;2;3;123;lost customer
Jennifer Ferguson;4;2;3;423;active customer
Bobby Elias;2;2;3;223;lost customer
Allen Rosenblatt;2;2;3;223;lost customer
Laurel Workman;2;2;3;223;lost customer
Thea Hendricks;1;2;3;123;lost customer
Nick Radford;1;2;3;123;lost customer
Eleni McCrary;2;2;3;223;lost customer
Beth Thompson;1;2;3;123;lost customer
Deanra Eno;1;2;3;123;lost customer
Alejandro Grove;1;2;3;123;lost customer
Nat Carroll;1;2;3;123;lost customer
Lauren Leatherbury;1;2;3;123;lost customer
Amy Hunt;1;2;3;123;lost customer
Julia Barnett;4;2;3;423;active customer
Ann Chong;4;2;3;423;active customer
Paul Van Hugh;2;2;3;223;lost customer
Maris LaWare;3;2;3;323;active customer
Christina VanderZanden;1;2;3;123;lost customer
Eva Jacobs;3;2;3;323;active customer
Bill Overfelt;2;2;3;223;lost customer
Bradley Talbott;2;2;3;223;lost customer
Speros Goranitis;2;2;3;223;lost customer
Deirdre Greer;3;2;3;323;active customer
Christine Kargatis;2;2;3;223;lost customer
Michelle Huthwaite;3;2;3;323;active customer
Toby Gnade;1;2;3;123;lost customer
Ricardo Sperren;2;2;3;223;lost customer
Sharelle Roach;4;2;3;423;active customer
Dianna Vittorini;4;2;3;423;active customer
Dave Hallsten;1;2;3;123;lost customer
Sam Craven;1;2;3;123;lost customer
Trudy Schmidt;1;2;3;123;lost customer
Khloe Miller;4;2;1;421;active customer
Erin Creighton;3;2;1;321;active customer
Joni Sundaresam;1;2;1;121;lost customer
Vivian Mathis;2;2;1;221;lost customer
Don Weiss;2;2;1;221;lost customer
Heather Jas;2;2;1;221;lost customer
Jill Matthias;4;2;1;421;active customer
Paul Lucas;4;2;1;421;active customer
Andrew Roberts;4;2;1;421;active customer
Robert Barroso;1;2;1;121;lost customer
Allen Goldenen;2;2;1;221;lost customer
Alan Shonely;1;2;1;121;lost customer
Rob Beeghly;4;2;1;421;active customer
Toby Ritter;1;2;1;121;lost customer
Jennifer Jackson;1;2;1;121;lost customer
Anna Chung;1;2;1;121;lost customer
Lori Olson;4;2;1;421;active customer
Alex Grayson;4;2;1;421;active customer
Brad Eason;1;2;1;121;lost customer
Barry Blumstein;2;2;1;221;lost customer
Dorris liebe;2;2;1;221;lost customer
Harry Greene;3;2;1;321;active customer
Alice McCarthy;4;2;1;421;active customer
Todd Boyes;2;2;1;221;lost customer
Charles Sheldon;1;2;1;121;lost customer
Vicky Freymann;4;2;1;421;active customer
Julie Creighton;3;2;1;321;active customer
Jim Mitchum;4;2;1;421;active customer
Henia Zydlo;3;2;1;321;active customer
Zuschuss Donatelli;1;2;2;122;lost customer
Benjamin Venier;1;2;2;122;lost customer
Bradley Nguyen;4;2;2;422;active customer
Shirley Jackson;1;2;2;122;lost customer
Corey-Lock;1;2;2;122;lost customer
Liz MacKendrick;1;2;2;122;lost customer
Nathan Gelder;3;2;2;322;active customer
Cari Sayre;2;2;2;222;lost customer
Michael Grace;2;2;2;222;lost customer
Toby Swindell;1;2;1;121;lost customer
Barry Pond;2;2;1;221;lost customer
Sung Shariari;2;2;1;221;lost customer
Eric Barreto;2;2;1;221;lost customer
Jason Fortune-;1;2;1;121;lost customer
Eric Murdock;2;2;1;221;lost customer
Maureen Fritzler;1;2;1;121;lost customer
Aimee Bixby;3;2;1;321;active customer
Dennis Bolton;1;2;1;121;lost customer
Phillina Ober;2;2;1;221;lost customer
Jesus Ocampo;1;2;2;122;lost customer
Michael Dominguez;3;2;2;322;active customer
Darrin Van Huff;4;2;2;422;active customer
Nora Pelletier;1;2;2;122;lost customer
Alyssa Tate;4;2;2;422;active customer
Debra Catini;4;2;2;422;active customer
Benjamin Patterson;3;2;2;322;active customer
Evan Bailliet;2;2;2;222;lost customer
Carl Weiss;4;2;2;422;active customer
Jack Lebron;4;2;2;422;active customer
David Wiener;3;2;1;321;active customer
Joni Wasserman;4;2;1;421;active customer
Catherine Glotzbach;3;2;1;321;active customer
Evan Henry;2;2;1;221;lost customer
Roy Collins;1;2;1;121;lost customer
Bruce Geld;3;2;1;321;active customer
Lynn Smith;3;2;1;321;active customer
Luke Schmidt;2;2;1;221;lost customer
Steve Carroll;2;2;2;222;lost customer
Jeremy Ellison;1;2;2;122;lost customer
Sarah Jordon;4;2;2;422;active customer
Sibella Parks;1;2;2;122;lost customer
Bruce Degenhardt;2;2;2;222;lost customer
Brian DeCherney;3;2;2;322;active customer
John Grady;1;2;2;122;lost customer
Laurel Elliston;4;2;2;422;active customer
Charlotte Melton;4;2;2;422;active customer
Raymond Messe;1;2;2;122;lost customer
Michael Stewart;4;2;1;421;active customer
Vivek Gonzalez;2;2;1;221;lost customer
Erica Hackney;1;2;1;121;lost customer
Brendan Murry;2;2;1;221;lost customer
Bryan Davis;1;2;1;121;lost customer
Berenike Kampe;2;2;1;221;lost customer
Pete Armstrong;2;2;1;221;lost customer
John Huston;2;2;1;221;lost customer
Cari Schnelling;2;2;1;221;lost customer
Anne Pryor;3;2;1;321;active customer
Dorothy Dickinson;3;2;1;321;active customer
Sonia Sunley;1;2;1;121;lost customer
Joy Daniels;2;2;1;221;lost customer
Daniel Lacy;3;2;3;323;active customer
Rick Reed;2;2;3;223;lost customer
Lindsay Williams;3;2;3;323;active customer
Alejandro Savely;4;2;3;423;active customer
Shahid Shariari;2;2;3;223;lost customer
Sara Luxemburg;3;2;3;323;active customer
Mark Packer;1;2;3;123;lost customer
Meg Tillman;3;2;3;323;active customer
Neil Ducich;2;2;3;223;lost customer
Janet Martin;3;2;3;323;active customer
Greg Matthias;2;2;3;223;lost customer
Jeremy Lonsdale;3;2;3;323;active customer
Katherine Hughes;4;2;3;423;active customer
Liz Preis;4;2;3;423;active customer
Eugene Barchas;2;2;3;223;lost customer
Gary Mitchum;4;2;3;423;active customer
Maribeth Dona;2;2;3;223;lost customer
John Lucas;1;2;3;123;lost customer
Philip Fox;1;2;3;123;lost customer
Brian Dahlen;2;3;3;233;big customer, cannot lose
Shaun Weien;2;3;3;233;big customer, cannot lose
Linda Southworth;2;3;3;233;big customer, cannot lose
Joy Smith;4;3;3;433;loyal customer
Nicole Hansen;1;3;3;133;big customer, cannot lose
Michael Nguyen;3;3;3;333;active customer
Sean O'Donnell;4;3;3;433;loyal customer
Charles McCrossin;4;3;3;433;loyal customer
Mary Zewe;1;3;3;133;big customer, cannot lose
Matt Collister;3;3;3;333;active customer
Brendan Sweed;3;3;3;333;active customer
Michelle Arnett;1;3;3;133;big customer, cannot lose
Jamie Frazer;3;3;3;333;active customer
Jason Gross;4;3;3;433;loyal customer
Tony Sayre;4;3;3;433;loyal customer
Kalyca Meade;4;3;3;433;loyal customer
Karen Carlisle;1;3;2;132;lost customer
Theresa Swint;1;3;2;132;lost customer
Toby Braunhardt;1;3;2;132;lost customer
Pamela Stobb;2;3;2;232;lost customer
Bill Tyler;1;3;2;132;lost customer
Nathan Cano;3;3;3;333;active customer
Ben Wallace;1;3;2;132;lost customer
Becky Pak;2;3;2;232;lost customer
Candace McMahon;2;3;2;232;lost customer
Pauline Johnson;2;3;2;232;lost customer
Maurice Satty;1;3;2;132;lost customer
Annie Zypern;2;3;2;232;lost customer
Ashley Jarboe;2;3;2;232;lost customer
Skye Norling;2;3;2;232;lost customer
Brooke Gillingham;3;3;2;332;active customer
Katherine Ducich;3;3;2;332;active customer
Victoria Brennan;3;3;2;332;active customer
Scott Williamson;3;3;2;332;active customer
Jay Fein;2;3;2;232;lost customer
Jas O'Carroll;2;3;2;232;lost customer
Natalie Fritzler;2;3;4;234;big customer, cannot lose
Jane Waco;3;3;4;334;active customer
Joseph Holt;4;3;4;434;loyal customer
Andy Reiter;4;3;4;434;loyal customer
Rick Huthwaite;1;3;4;134;big customer, cannot lose
Tom Boeckenhauer;1;3;4;134;big customer, cannot lose
Raymond Buch;2;3;4;234;big customer, cannot lose
Hunter Lopez;3;3;4;334;active customer
Todd Sumrall;3;3;4;334;active customer
Anna Andreadi;3;3;4;334;active customer
Lena Radford;4;3;4;434;loyal customer
Keith Herrera;4;3;4;434;loyal customer
Eugene Moren;3;3;4;334;active customer
Cindy Stewart;3;3;4;334;active customer
Sarah Brown;1;3;4;134;big customer, cannot lose
Valerie Dominguez;1;3;4;134;big customer, cannot lose
Naresj Patel;4;3;4;434;loyal customer
Carol Adams;2;3;4;234;big customer, cannot lose
Ruben Ausman;3;3;3;333;active customer
Sean Christensen;4;3;3;433;loyal customer
Dave Brooks;4;3;4;434;loyal customer
Susan Pistek;3;3;4;334;active customer
Bradley Drucker;3;3;4;334;active customer
Anthony Johnson;2;3;4;234;big customer, cannot lose
Stewart Carmichael;3;3;4;334;active customer
Tracy Hopkins;3;3;4;334;active customer
Jeremy Pistek;4;3;3;433;loyal customer
Hunter Glantz;4;3;4;434;loyal customer
Gary McGarr;2;3;3;233;big customer, cannot lose
Pierre Wener;1;3;4;134;big customer, cannot lose
Luke Foster;4;3;4;434;loyal customer
Dorothy Badders;2;3;4;234;big customer, cannot lose
Fred Chung;1;3;4;134;big customer, cannot lose
Michael Chen;4;3;4;434;loyal customer
Rose O'Brian;3;3;4;334;active customer
Jim Karlsson;3;3;4;334;active customer
Matthew Grinstein;4;3;4;434;loyal customer
Nathan Mautz;2;3;4;234;big customer, cannot lose
Kristen Hastings;4;3;4;434;loyal customer
Amy Cox;4;3;4;434;loyal customer
Tamara Willingham;3;3;4;334;active customer
Luke Weiss;4;3;4;434;loyal customer
Helen Wasserman;2;3;4;234;big customer, cannot lose
Anthony Jacobs;3;3;4;334;active customer
Harold Ryan;2;3;4;234;big customer, cannot lose
Mitch Webber;4;3;4;434;loyal customer
Tonja Turnell;4;3;4;434;loyal customer
Thomas Seio;1;3;4;134;big customer, cannot lose
Ivan Liston;2;3;4;234;big customer, cannot lose
Ted Trevino;3;3;4;334;active customer
Irene Maddox;1;3;4;134;big customer, cannot lose
Karen Ferguson;2;3;4;234;big customer, cannot lose
Christine Phan;2;3;4;234;big customer, cannot lose
Max Jones;4;3;4;434;loyal customer
Darrin Martin;3;3;4;334;active customer
Rick Wilson;2;3;4;234;big customer, cannot lose
Natalie Webber;2;3;4;234;big customer, cannot lose
John Murray;2;3;4;234;big customer, cannot lose
Penelope Sewall;1;3;4;134;big customer, cannot lose
Nora Preis;2;3;4;234;big customer, cannot lose
Jim Epp;3;3;4;334;active customer
Sean Braxton;3;3;4;334;active customer
Nick Crebassa;4;3;4;434;loyal customer
Nicole Fjeld;2;3;2;232;lost customer
Doug Bickford;3;3;2;332;active customer
Harold Pawlan;4;3;2;432;active customer
Kristina Nunn;2;3;2;232;lost customer
Craig Yedwab;3;3;2;332;active customer
Shaun Chance;3;3;2;332;active customer
Richard Bierner;3;3;2;332;active customer
Tim Brockman;1;3;2;132;lost customer
Jennifer Patt;3;3;2;332;active customer
Jessica Myrick;2;3;2;232;lost customer
Mike Vittorini;4;3;2;432;active customer
Adrian Hane;3;3;2;332;active customer
Aaron Hawkins;4;3;2;432;active customer
Maya Herman;2;3;2;232;lost customer
Giulietta Weimer;4;3;2;432;active customer
Jay Kimmel;3;3;2;332;active customer
Duane Noonan;1;3;2;132;lost customer
Mark Hamilton;2;3;2;232;lost customer
Helen Abelman;3;3;2;332;active customer
Roy Phan;4;3;2;432;active customer
Art Ferguson;3;3;2;332;active customer
Max Ludwig;4;3;2;432;active customer
Maribeth Yedwab;4;3;3;433;loyal customer
Craig Carreira;4;3;3;433;loyal customer
Roland Fjeld;2;3;3;233;big customer, cannot lose
Valerie Mitchum;3;3;3;333;active customer
Bruce Stewart;4;3;3;433;loyal customer
Dave Kipp;3;3;3;333;active customer
Stephanie Ulpright;4;3;3;433;loyal customer
Patrick O'Donnell;4;3;3;433;loyal customer
Charles Crestani;2;3;3;233;big customer, cannot lose
Beth Paige;4;3;3;433;loyal customer
Herbert Flentye;4;3;3;433;loyal customer
Corey Catlett;3;3;3;333;active customer
Arthur Wiediger;3;3;3;333;active customer
Tamara Manning;2;3;3;233;big customer, cannot lose
Troy Staebel;3;3;3;333;active customer
Steve Nguyen;2;3;3;233;big customer, cannot lose
Tanja Norvell;2;3;3;233;big customer, cannot lose
Karen Bern;4;3;3;433;loyal customer
Brian Thompson;4;3;3;433;loyal customer
David Bremer;3;3;3;333;active customer
Frank Atkinson;2;3;3;233;big customer, cannot lose
Aaron Smayling;2;3;3;233;big customer, cannot lose
Kean Takahito;1;3;3;133;big customer, cannot lose
Cynthia Arntzen;2;3;3;233;big customer, cannot lose
Victoria Pisteka;2;3;3;233;big customer, cannot lose
Anna Gayman;2;3;3;233;big customer, cannot lose
Frank Carlisle;3;3;3;333;active customer
Shui Tom;2;3;1;231;lost customer
Dan Lawera;2;3;1;231;lost customer
Neil Knudson;3;3;1;331;active customer
Barbara Fisher;2;3;1;231;lost customer
Joy Bell-;3;3;1;331;active customer
Sandra Flanagan;3;3;1;331;active customer
Tracy Collins;4;3;1;431;active customer
Ann Steele;2;3;1;231;lost customer
Mick Brown;3;3;2;332;active customer
Katrina Edelman;4;3;2;432;active customer
Andrew Gjertsen;2;3;2;232;lost customer
Kelly Andreada;3;3;2;332;active customer
Dario Medina;2;3;2;232;lost customer
Frank Gastineau;3;3;2;332;active customer
Doug O'Connell;4;3;2;432;active customer
Ken Brennan;4;3;1;431;active customer
Roy Französisch;4;3;1;431;active customer
Jonathan Howell;3;3;1;331;active customer
Scot Wooten;2;3;2;232;lost customer
Erica Hernandez;4;3;2;432;active customer
Duane Benoit;4;3;2;432;active customer
Dorothy Wardle;1;3;2;132;lost customer
Ross DeVincentis;4;3;2;432;active customer
Alan Barnes;4;3;2;432;active customer
Patrick Jones;3;3;2;332;active customer
Darren Powers;2;3;1;231;lost customer
Tiffany House;2;3;1;231;lost customer
Paul Stevenson;3;3;2;332;active customer
Matt Collins;4;3;2;432;active customer
Saphhira Shifley;4;3;2;432;active customer
Parhena Norris;4;3;2;432;active customer
Thomas Thornton;2;3;2;232;lost customer
Philip Brown;2;3;2;232;lost customer
Delfina Latchford;4;3;2;432;active customer
Eric Hoffmann;1;3;1;131;lost customer
Emily Ducich;2;3;3;233;big customer, cannot lose
Carol Triggs;2;3;3;233;big customer, cannot lose
Randy Ferguson;1;3;3;133;big customer, cannot lose
Katharine Harms;3;3;3;333;active customer
Dennis Kane;4;3;3;433;loyal customer
Liz Thompson;3;3;3;333;active customer
Barry Französisch;3;3;3;333;active customer
Barry Gonzalez;4;3;3;433;loyal customer
Michelle Moray;3;3;3;333;active customer
Marc Crier;2;3;3;233;big customer, cannot lose
Don Jones;3;3;3;333;active customer
Lena Cacioppo;4;3;3;433;loyal customer
Helen Andreada;4;3;3;433;loyal customer
Christina Anderson;3;3;3;333;active customer
Michael Kennedy;4;3;3;433;loyal customer
Elizabeth Moffitt;3;4;3;343;active customer
Katherine Nockton;4;4;3;443;loyal customer
Matt Connell;2;4;3;243;big customer, cannot lose
Daniel Byrd;4;4;2;442;loyal customer
Dave Poirier;4;4;2;442;loyal customer
Meg O'Connel;2;4;2;242;lost customer
Sheri Gordon;2;4;2;242;lost customer
Susan Vittorini;4;4;2;442;loyal customer
Max Engle;4;4;2;442;loyal customer
Christy Brittain;4;4;2;442;loyal customer
Daniel Raglin;3;4;4;344;active customer
Adam Bellavance;3;4;4;344;active customer
Yana Sorensen;4;4;4;444;loyal customer
Fred Hopkins;4;4;4;444;loyal customer
Justin Deggeller;3;4;4;344;active customer
Caroline Jumper;1;4;4;144;big customer, cannot lose
Laurel Beltran;2;4;4;244;big customer, cannot lose
Kelly Lampkin;4;4;4;444;loyal customer
Kunst Miller;4;4;4;444;loyal customer
Cathy Prescott;2;4;4;244;big customer, cannot lose
Heather Kirkland;2;4;4;244;big customer, cannot lose
Deborah Brumfield;3;4;4;344;active customer
Bart Watters;2;4;4;244;big customer, cannot lose
Mike Pelletier;4;4;4;444;loyal customer
Katherine Murray;3;4;4;344;active customer
Ross Baird;3;4;4;344;active customer
Anne McFarland;2;4;4;244;big customer, cannot lose
Rob Lucas;2;4;4;244;big customer, cannot lose
Brosina Hoffman;4;4;4;444;loyal customer
Joseph Airdo;2;4;4;244;big customer, cannot lose
Alan Dominguez;4;4;4;444;loyal customer
Dionis Lloyd;2;4;3;243;big customer, cannot lose
Scott Cohen;1;4;4;144;big customer, cannot lose
Claudia Bergmann;1;4;4;144;big customer, cannot lose
Toby Carlisle;4;4;4;444;loyal customer
Rick Duston;3;4;4;344;active customer
Frank Preis;4;4;4;444;loyal customer
Denise Monton;4;4;4;444;loyal customer
Roland Schwarz;3;4;4;344;active customer
Jill Fjeld;3;4;4;344;active customer
Linda Cazamias;3;4;4;344;active customer
Anthony Rawles;3;4;4;344;active customer
Steven Roelle;1;4;4;144;big customer, cannot lose
Gary Zandusky;4;4;4;444;loyal customer
